audio_name,applied_effects,GA_effects,similarity_indv,best_fit
66.mp3,"{4: {'depth': 0.24}, 5: {'wet_level': 0.33}, 2: {'drive_db': 15.73}, 0: {'rate_hz': 12.96}}","{4: {'depth': 0.25}, 1: {'delay_seconds': 2.28}}",0.24305555555555555,
67.mp3,"{5: {'wet_level': 0.37}, 1: {'delay_seconds': 3.23}, 3: {'gain_db': -9.36}, 0: {'rate_hz': 12.81}, 4: {'depth': 0.54}, 2: {'drive_db': 7.87}}","{4: {'depth': 0.51}, 0: {'rate_hz': 10.34}, 1: {'delay_seconds': 3.53}}",0.443124512771267,
68.mp3,"{0: {'rate_hz': 15.96}, 3: {'gain_db': -5.04}, 5: {'wet_level': 0.48}, 4: {'depth': 0.25}}","{3: {'gain_db': 0.2}, 2: {'drive_db': 10.52}, 5: {'wet_level': 0.34}, 0: {'rate_hz': 2.29}, 4: {'depth': 0.5}}",0.38565323052039047,
69.mp3,"{5: {'wet_level': 0.43}, 3: {'gain_db': 7.14}}","{5: {'wet_level': 0.59}, 3: {'gain_db': -10.0}, 4: {'depth': 0.56}, 2: {'drive_db': 12.97}}",0.07377301168215844,
70.mp3,"{5: {'wet_level': 0.35}, 2: {'drive_db': 16.49}}",{5: {'wet_level': 0.35}},0.5,
71.mp3,"{5: {'wet_level': 0.34}, 2: {'drive_db': 18.33}, 1: {'delay_seconds': 2.13}}","{5: {'wet_level': 0.28}, 3: {'gain_db': -0.32}, 1: {'delay_seconds': 1.3}, 4: {'depth': 0.32}}",0.38358270137323225,
72.mp3,"{1: {'delay_seconds': 2.45}, 0: {'rate_hz': 14.87}, 5: {'wet_level': 0.44}, 4: {'depth': 0.31}, 3: {'gain_db': -4.31}, 2: {'drive_db': 12.33}}","{5: {'wet_level': 0.53}, 3: {'gain_db': 4.94}, 1: {'delay_seconds': 4.4}, 4: {'depth': 0.2}, 2: {'drive_db': 16.79}, 0: {'rate_hz': 16.19}}",0.6408198974144852,
73.mp3,"{0: {'rate_hz': 10.03}, 4: {'depth': 0.32}, 3: {'gain_db': -4.97}, 2: {'drive_db': 19.54}}","{5: {'wet_level': 0.4}, 3: {'gain_db': -2.91}, 4: {'depth': 0.39}, 2: {'drive_db': 11.67}}",0.5739968598192959,
74.mp3,"{4: {'depth': 0.56}, 1: {'delay_seconds': 1.6}, 5: {'wet_level': 0.58}, 3: {'gain_db': -7.95}, 2: {'drive_db': 9.58}}","{0: {'rate_hz': 9.59}, 1: {'delay_seconds': 1.3}, 5: {'wet_level': 0.27}, 4: {'depth': 0.31}, 3: {'gain_db': 6.35}, 2: {'drive_db': 13.16}}",0.5126092352124623,
75.mp3,"{3: {'gain_db': -0.93}, 2: {'drive_db': 2.17}, 5: {'wet_level': 0.4}, 0: {'rate_hz': 10.53}, 4: {'depth': 0.49}}","{4: {'depth': 0.49}, 2: {'drive_db': 10.19}}",0.3100392596747056,
76.mp3,{5: {'wet_level': 0.25}},{},0.0,
77.mp3,"{5: {'wet_level': 0.54}, 1: {'delay_seconds': 4.15}, 4: {'depth': 0.3}, 2: {'drive_db': 13.44}, 0: {'rate_hz': 4.69}}","{3: {'gain_db': -8.8}, 1: {'delay_seconds': 2.15}, 4: {'depth': 0.33}}",0.28361445783132533,
78.mp3,"{0: {'rate_hz': 15.26}, 2: {'drive_db': 8.16}, 4: {'depth': 0.43}}","{4: {'depth': 0.45}, 3: {'gain_db': 5.77}}",0.31782945736434104,
79.mp3,"{3: {'gain_db': 3.57}, 5: {'wet_level': 0.46}, 0: {'rate_hz': 17.99}, 2: {'drive_db': 8.53}}","{3: {'gain_db': -4.34}, 5: {'wet_level': 0.39}, 2: {'drive_db': 4.24}, 4: {'depth': 0.25}, 1: {'delay_seconds': 1.03}, 0: {'rate_hz': 9.1}}",0.41636784758769274,
80.mp3,"{0: {'rate_hz': 5.89}, 5: {'wet_level': 0.35}, 1: {'delay_seconds': 4.19}, 2: {'drive_db': 4.85}, 3: {'gain_db': -9.71}, 4: {'depth': 0.39}}","{2: {'drive_db': 15.15}, 1: {'delay_seconds': 4.88}, 3: {'gain_db': 8.44}, 4: {'depth': 0.2}, 5: {'wet_level': 0.27}, 0: {'rate_hz': 12.69}}",0.5578116938767106,
81.mp3,"{0: {'rate_hz': 5.65}, 4: {'depth': 0.56}, 3: {'gain_db': -1.27}, 5: {'wet_level': 0.53}, 2: {'drive_db': 14.06}}","{4: {'depth': 0.55}, 3: {'gain_db': -2.03}, 1: {'delay_seconds': 3.89}, 2: {'drive_db': 11.5}, 5: {'wet_level': 0.55}}",0.7453198235593472,
82.mp3,"{2: {'drive_db': 8.46}, 4: {'depth': 0.26}, 3: {'gain_db': -5.38}, 0: {'rate_hz': 15.74}, 5: {'wet_level': 0.44}}","{4: {'depth': 0.3}, 3: {'gain_db': -0.61}, 0: {'rate_hz': 15.02}}",0.5297332699334567,
83.mp3,"{4: {'depth': 0.42}, 1: {'delay_seconds': 3.33}}","{5: {'wet_level': 0.51}, 0: {'rate_hz': 6.98}, 1: {'delay_seconds': 1.01}, 2: {'drive_db': 6.8}, 4: {'depth': 0.42}}",0.2606606606606607,
84.mp3,"{0: {'rate_hz': 2.21}, 1: {'delay_seconds': 4.3}, 5: {'wet_level': 0.38}, 3: {'gain_db': -9.53}, 4: {'depth': 0.23}, 2: {'drive_db': 7.82}}",{1: {'delay_seconds': 2.21}},0.08565891472868217,
